	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
Tex264	105.40	644.01	64.29	397.32	1157.58	910.88	957.94	1337.78
Tex30	378.83	40.01	520.18	301.42	693.90	1612.68	1222.42	990.72
Tex9	22.17	13.19	2.94	1.57	243.91	14.00	64.00	143.98
Tfam	237.13	1547.98	49.16	1136.58	908.71	1110.76	1075.74	745.31
Tfap2c	375.62	139.53	1909.26	1058.87	813.70	233.97	363.98	363.94
Tfap4	3.28	71.17	11.69	5.87	162.94	69.99	111.99	23.00
Tfb1m	0.92	115.14	1.83	8.81	1706.38	861.88	704.95	954.84
Tfb2m	397.61	600.29	954.63	1042.24	1081.60	2068.71	1334.91	646.89
Tfcp2	76.67	514.73	1602.46	119.75	2490.16	2674.41	1820.89	1004.24
Tfcp2l1	1628.79	7026.23	3769.56	6408.50	1591.32	1987.76	1005.91	589.26
Tfdp1	897.85	40.72	835.79	193.77	3474.74	3761.50	2993.59	2619.57
Tfdp2	149.14	62.74	2.22	7.06	2457.34	1865.75	1079.93	1239.79
Tfe3	36.41	2.93	3.90	478.55	5754.90	5627.25	4089.73	2697.55
Tfg	534.69	586.43	2023.23	2073.71	475.83	1336.82	415.97	175.97
Tfip11	298.96	173.95	59.83	0.98	1655.45	898.16	764.33	526.18
Tfpt	207.62	61.47	149.04	405.15	156.94	102.99	127.99	101.98
Tfr2	10.61	9.95	7.90	1.66	21.37	4.50	7.87	74.13
Tfrc	3555.95	6405.90	9889.20	2099.15	447.84	161.98	125.99	171.97
Tgds	0.37	0.98	470.62	42.74	4428.26	4414.39	3476.89	3087.38
Tgfb1	1.27	22.40	13.77	18.48	64.74	12.79	43.11	13.43
Tgfb2	342.12	419.58	2.11	20.58	44319.70	56340.50	48285.26	29749.06
Tgfbr1	148.52	4.89	0.97	0.98	1246.54	1213.84	843.94	462.92
Tgfbr2	1.47	1.42	1.14	8.00	50.60	86.79	43.42	14.48
Tgfbrap1	164.81	127.83	90.59	260.31	3752.63	4736.37	3135.79	1912.69
Tgif1	10.25	77.43	94.23	424.72	264.90	72.99	4.00	112.98
Tgif2	0.65	30.79	309.84	2.81	1358.24	2438.00	1282.73	850.32
Tgif2-ps2	2.27	15.89	3.45	3.21	240.56	77.50	80.78	11.73
Tgm4	2.87	16.28	4.39	1.96	136.95	206.55	108.34	25.84
Tgoln1	386.16	681.08	782.21	797.58	3182.84	1765.76	1431.91	961.84
Tgs1	598.89	1744.67	159.75	547.05	581.43	288.65	189.07	188.53
Thada	445.81	580.11	60.42	166.01	738.17	2040.83	1857.29	759.99
Thap1	12.73	500.98	692.14	163.35	851.78	663.31	382.21	243.56
Thap11	0.96	89.77	226.67	465.01	1749.36	5198.29	3091.55	1509.72
Thap12	143.30	10.32	7.13	532.00	3539.93	4424.75	3437.76	2590.17
Thap2	3.32	0.90	7.93	4.30	39.42	269.08	197.47	98.03
Thap4	169.27	1105.45	1109.98	9.79	1193.41	718.24	836.72	399.68
Thap6	3.26	6.44	3.84	1.01	16.82	17.45	229.84	31.45
Thap7	36.33	6.95	595.33	1.15	300.89	387.95	124.99	153.97
Them4	189.77	272.24	1502.08	94.48	686.75	389.95	198.99	77.99
Themis	0.73	2.80	2.58	6.80	39.03	24.37	44.71	37.17
Themis3	0.36	11.85	110.24	0.98	106.96	519.93	438.97	271.95
Thg1l	13.66	201.88	222.05	567.74	612.07	444.18	540.57	536.94
Thoc1	465.69	2617.00	1503.06	3085.61	1781.35	1651.78	1418.91	1466.76
Thoc2	365.08	1903.72	1448.50	1836.00	5926.27	8623.79	4745.01	5337.82
Thoc3	101.57	2126.19	1317.98	697.76	2261.14	2383.66	1719.89	1403.76
Thoc5	1073.21	278.09	94.49	1648.98	376.86	480.94	334.98	362.94
Thoc6	491.49	837.21	26.30	1006.03	1700.38	2311.41	2007.46	1334.78
Thoc7	624.63	2182.38	2040.49	1198.57	2775.58	2331.65	1958.97	1963.73
Thop1	275.01	1940.80	1330.64	292.61	19.99	136.98	104.99	270.95
Thra	302.84	338.93	56.50	292.36	213.92	247.95	590.48	173.97
Thrap3	512.33	3449.59	1001.07	1759.92	3431.93	2972.44	2525.51	1073.24
Thsd4	5.32	29.64	32.41	4.80	160.30	230.87	205.30	210.15
Thsd7b	0.22	0.62	9.59	17.36	66.55	166.00	117.57	38.02
Thumpd1	246.26	27.32	729.61	279.89	4384.40	3604.52	3736.75	2225.63
Thumpd3	135.68	285.32	238.82	993.40	553.53	355.07	291.98	178.28
Thyn1	1.92	272.24	937.11	639.04	677.75	753.90	878.94	869.86
Tia1	19.49	12.97	20.01	7.82	6.36	7.01	24.74	1.10
Tial1	177.27	3648.39	1003.34	1147.93	826.70	610.92	608.96	144.98
Tiam1	28.89	24.39	345.81	32.29	18415.26	20366.27	16501.89	10027.33
Tiam2	4.72	5.85	2.45	9.05	7629.22	7224.03	6523.57	4096.32
Ticrr	279.09	2181.13	3806.63	1573.46	14738.02	14947.74	12646.53	8869.61
Tigar	2203.87	3878.66	4586.71	6725.08	1090.60	1716.75	1128.92	1266.75
Tigd2	12.57	0.98	35.07	32.65	265.90	239.97	194.99	121.98
Tigit	7.57	17.68	47.50	18.62	25.24	11.32	7.94	16.15
Timd2	8716.85	25799.12	31032.08	45467.81	658.02	1826.46	878.98	905.13
Timeless	284.53	312.33	78.71	415.67	7627.38	6711.20	6232.86	4532.84
Timm10	503.06	1449.99	2549.26	2340.87	1.00	39.99	264.98	197.97
Timm10b	102.96	23.98	255.39	321.97	178.67	610.80	340.87	164.98
Timm13	838.44	2620.91	3552.59	2123.61	45.98	149.98	73.00	171.97
Timm17a	4465.77	8608.03	17726.83	13808.27	1871.66	1977.41	1306.14	1074.24
Timm17b	560.07	988.30	1937.14	1633.05	455.21	339.15	200.80	71.92
Timm21	143.73	356.15	364.32	272.12	1537.44	907.88	901.94	1006.83
Timm23	2929.19	9725.97	13748.08	12999.87	4116.49	6538.57	4900.31	4056.03
Timm29	2.87	709.38	175.34	141.90	488.82	253.97	219.99	495.92
Timm44	310.46	1289.97	2168.38	385.58	1146.59	1852.75	1476.90	653.89
Timm50	390.00	617.66	1297.52	476.59	376.86	556.93	583.96	162.97
Timm8a1	1675.20	1131.74	7939.46	3437.30	321.88	720.90	505.97	171.97
Timm8a2	385.20	717.19	405.23	0.98	1566.43	1128.85	868.94	559.91
Timm8b	139.90	132.70	439.33	538.24	3075.88	2681.64	2253.85	1932.68
Timm9	289.38	429.34	266.91	72.42	1396.49	1653.78	1673.89	1104.82
Timmdc1	122.61	227.06	339.38	304.79	230.42	288.16	163.40	63.48
Tinf2	102.53	50.74	342.89	179.09	3095.87	2991.60	2405.84	1714.71
Tiparp	510.68	374.69	18.94	4.26	48513.30	38097.92	29423.08	26261.62
Tipin	875.10	2022.92	3802.52	3572.54	4289.68	3929.29	3150.63	3515.50
Tiprl	366.44	1827.24	1146.17	904.24	970.67	1023.34	1205.52	1154.98
Tirap	8.82	40.22	16.51	14.40	1258.83	317.42	736.08	501.44
Tjap1	165.34	149.29	56.50	41.10	1073.61	1230.84	1108.93	547.91
Tjp1	41.20	268.34	286.39	273.04	4308.43	4233.43	2457.83	1694.72
Tjp2	263.15	793.30	315.57	433.53	1305.52	1083.86	943.94	668.89
Tk1	566.24	3154.62	1991.92	2061.19	1252.60	1437.20	1006.93	919.87
Tk2	2.42	6.88	0.20	5.32	660.88	441.02	571.84	378.95
Tkfc	89.29	1.95	1.50	3.91	11.00	52.00	34.00	33.99
Tkt	1348.22	2537.97	4127.31	2335.00	1969.29	2317.69	1546.90	1187.02
Tlcd1	21.02	457.18	245.57	880.83	134.83	295.39	87.70	82.63
Tlcd2	11.16	23.48	19.36	49.13	2370.54	3745.05	1832.12	1717.27
Tldc1	4.32	185.64	6.00	4.17	160.61	43.29	57.90	129.32
Tle1	0.63	114.89	121.89	18.97	1428.34	1098.81	372.65	407.14
Tle4	676.50	1184.58	343.86	727.12	2431.26	3881.52	1972.20	2114.44
Tle6	313.34	637.17	587.76	119.28	12178.38	11393.18	13099.98	6443.84
Tlk1	203.14	486.91	771.50	312.18	1319.52	1061.86	403.97	505.92
Tlk2	5.75	35.13	348.11	661.55	2645.44	4884.35	2725.28	2223.21
Tln1	122.65	20.49	361.40	261.29	99.96	205.97	306.98	78.99
Tln2	12.15	28.45	44.51	504.23	667.04	1150.34	632.44	487.28
Tlnrd1	0.96	91.06	246.45	154.62	1897.31	1484.80	1003.93	823.86
Tm2d1	4.79	5.99	188.00	206.49	287.90	664.91	168.99	281.95
Tm2d2	1.92	2.66	33.12	211.38	833.70	652.91	790.95	673.89
Tm2d3	250.09	657.67	252.30	962.97	13977.90	11058.94	9983.33	7278.79
Tm7sf2	2.88	46.62	69.66	50.44	61.80	46.78	40.54	29.82
Tm7sf3	12.46	184.39	160.73	516.71	2983.91	4718.37	4525.70	2807.53
Tm9sf1	8.11	11.01	18.50	335.05	14.00	140.63	161.66	2.04
Tm9sf2	640.09	167.83	159.75	599.90	9922.38	7514.00	11171.26	5276.12
Tm9sf3	197.39	392.26	1650.15	274.99	3048.89	3257.56	2506.83	1663.72
Tm9sf4	2.87	23.42	578.62	799.54	1507.45	1106.85	1730.89	1010.83
Tma16	842.87	1964.37	1549.99	1476.71	272.77	744.38	429.56	418.54
Tma7	2600.95	8724.78	11508.80	6699.29	942.82	811.89	1265.32	895.86
Tmbim1	146.46	187.86	609.20	858.90	4327.85	4813.12	3240.78	2370.87
Tmbim4	25.87	5.85	154.88	398.30	306.89	632.92	342.98	45.99
Tmbim6	225.18	2485.28	2615.50	1804.59	15793.28	18454.57	13363.14	9402.43
Tmc4	3.82	59.27	537.40	6.38	1022.37	827.23	705.95	309.95
Tmc5	5.01	11.21	20.38	32.18	9.15	94.23	38.34	33.21
Tmcc1	183.21	640.98	736.89	149.19	2361.65	2848.86	2029.37	1367.21
Tmco1	326.39	314.20	1125.10	2271.39	1236.08	1761.12	1318.39	748.88
Tmco3	13.55	30.41	22.82	425.30	3256.92	3484.41	3402.36	1424.04
Tmco4	333.46	13.66	1.42	13.11	366.87	206.97	85.99	131.98
Tmed10	1569.56	2334.03	1085.16	3892.45	6267.71	6621.56	4337.62	2895.52
Tmed2	517.44	3385.62	1363.67	2478.80	1424.28	1261.54	1507.17	779.36
Tmed3	11.35	10.73	1.95	0.98	6.24	131.71	228.99	90.98
Tmed4	230.93	471.18	3.90	316.10	223.92	351.95	188.99	259.96
Tmed5	1017.21	1743.74	2042.67	2679.68	661.10	422.62	448.75	417.39
Tmed7	196.80	12.02	585.92	408.89	999.71	599.36	587.21	596.51
Tmed8	0.96	34.15	11.80	257.29	112.96	127.98	363.98	10.00
Tmed9	3.09	570.24	663.48	856.30	2715.70	1131.61	873.78	671.29
Tmeff1	74.74	455.68	1.42	307.60	8.00	199.97	60.00	106.98
Tmem104	0.28	82.94	11.98	84.28	234.91	1139.85	691.95	395.93
Tmem106c	241.47	137.69	0.82	101.49	451.84	314.96	281.98	286.95
Tmem107	8.62	62.45	308.40	114.19	5574.97	4519.40	4286.71	2996.50
Tmem109	0.72	0.98	232.10	0.94	6692.56	5030.33	4338.71	2903.52
Tmem11	294.17	917.22	1907.31	1945.51	782.71	1325.82	610.96	559.91
Tmem110	0.50	72.89	92.77	1.36	157.94	136.98	71.00	3.00
Tmem115	306.63	13.91	171.20	0.91	97.49	36.00	11.00	55.99
Tmem116	10.04	410.73	5.01	27.40	61.99	96.99	118.02	81.01
Tmem120a	404.37	48.79	1606.32	1491.43	57.98	676.91	166.99	245.96
Tmem120b	52.70	638.15	27.28	143.82	433.57	443.99	376.73	140.50
Tmem123	41.33	202.76	80.74	203.53	1345.51	899.88	1198.92	958.84
Tmem126a	112.11	243.94	49.68	150.71	161.94	19.00	67.00	121.98
Tmem126b	319.18	410.42	502.25	369.41	103.25	128.02	172.38	47.53
Tmem127	22.04	466.42	607.47	55.78	146.95	400.95	390.97	75.99
Tmem128	560.56	406.89	395.49	694.82	3261.81	2410.68	2018.87	1171.80
Tmem129	269.26	0.71	762.73	179.09	29.99	9.00	17.00	84.99
Tmem131	443.66	323.95	216.74	346.43	1115.59	708.91	1620.89	574.90
Tmem131l	54.82	14.64	5.17	2.65	1500.32	1330.16	1311.68	799.40
Tmem134	2.02	4.00	2.06	172.29	946.16	1259.22	810.10	878.33
Tmem135	2.98	18.36	243.15	8.82	341.62	459.77	541.08	353.79
Tmem136	1.21	8.25	2.14	0.85	124.23	37.93	37.09	4.15
Tmem138	211.24	0.98	4.87	599.90	45.26	153.98	109.99	26.00
Tmem140	73.76	0.98	485.06	201.29	12.52	26.77	16.28	0.33
Tmem141	0.96	247.84	294.18	84.61	43.98	322.96	109.99	105.98
Tmem143	18.44	37.99	43.03	21.00	273.50	176.73	127.63	191.62
Tmem147	162.90	220.52	107.15	1045.17	13.99	123.98	144.99	175.97
Tmem147os	85.54	290.26	250.69	233.44	6.41	183.83	268.83	56.72
Tmem14c	108.25	7.81	1118.28	378.73	10519.16	7413.01	7604.50	5225.13
Tmem150a	45.99	0.98	0.97	53.45	1171.57	1420.81	1661.89	774.87
Tmem159	1757.34	2466.59	3255.96	670.35	351.87	305.96	153.95	374.92
Tmem161b	388.67	160.15	218.35	363.50	1085.86	961.58	1030.51	596.90
Tmem165	142.35	233.21	288.34	17.90	413.85	134.98	195.99	120.98
Tmem167	155.23	454.71	2176.17	2323.26	170.01	244.09	281.98	193.97
Tmem167b	216.38	10.67	43.81	239.87	77.97	374.68	223.75	26.74
Tmem168	80.49	617.66	1.04	0.98	2479.10	1704.77	1013.93	1097.82
Tmem170	9.58	980.32	222.97	357.20	192.19	372.95	9.00	446.11
Tmem175	221.39	66.64	247.43	554.88	1525.44	2284.70	2231.85	1223.80
Tmem178b	10.65	817.69	14.68	8.82	18.67	11.46	10.12	7.03
Tmem179	13.80	2.25	3.40	1.31	22.71	19.65	4.50	13.55
Tmem181a	0.85	0.89	38.03	41.28	1116.84	919.33	754.53	629.00
Tmem181b-ps	52.33	5.09	16.93	14.91	380.61	617.84	613.16	371.55
Tmem183a	777.12	534.72	6.82	402.22	1621.41	1934.74	1500.90	1036.83
Tmem184a	0.24	7.81	15.76	4.89	11.00	7.00	6.00	10.00
Tmem184b	1.90	232.23	25.33	35.41	1061.61	1120.85	921.93	398.93
Tmem184c	323.88	25.37	160.73	43.06	10.00	592.92	462.97	626.90
Tmem185a	62.36	44.05	1.46	0.98	2349.15	1318.82	1473.90	915.85
Tmem185b	194.52	679.13	469.52	227.04	76.97	80.99	90.99	34.99
Tmem186	35.45	405.92	484.13	405.15	251.91	63.99	211.99	88.99
Tmem189	39.29	2.32	616.61	485.97	4.00	155.98	118.99	99.98
Tmem19	17.93	0.98	1.01	48.93	494.82	603.92	200.99	291.95
Tmem192	14.37	309.32	485.11	23.49	72.97	11.00	36.00	25.38
Tmem198b	2.72	2.93	9.74	3.91	128.76	48.45	5.63	8.03
Tmem199	558.64	625.47	1469.94	2348.70	1315.52	2404.68	1519.90	1105.82
Tmem2	149.48	334.69	8.93	0.86	559.80	368.95	176.13	246.96
Tmem201	126.75	988.70	651.36	443.32	6550.47	5920.63	6485.50	4056.11
Tmem203	120.02	2.73	351.73	4.13	83.97	80.99	22.00	18.00
Tmem209	347.15	1728.28	1559.12	1216.35	3223.33	3806.27	2942.27	1353.07
Tmem214	378.78	150.18	17.45	1036.34	1020.62	2300.12	1351.58	762.90
Tmem216	80.77	1.01	212.88	51.87	958.65	1209.00	775.95	774.87
Tmem222	2.87	1506.58	83.77	108.63	1486.46	610.92	421.97	698.88
Tmem229b	346.46	3.50	771.50	879.37	986.64	1067.86	481.97	597.57
Tmem230	159.06	3.90	162.67	0.98	1881.31	1891.75	807.95	1021.83
Tmem231	194.43	143.68	199.15	483.44	273.43	317.11	342.53	249.96
Tmem234	101.15	326.32	263.85	688.24	55.61	74.16	26.31	9.85
Tmem241	16.60	3.50	48.66	12.76	12.00	6.00	86.99	57.99
Tmem242	441.74	800.13	213.33	394.39	581.79	368.95	425.97	238.96
Tmem243	21.21	335.75	211.00	49.95	2567.53	2482.79	1836.04	981.15
Tmem245	440.82	237.70	312.31	481.33	3248.53	3744.70	3359.79	1984.44
Tmem248	238.60	504.47	301.97	32.29	5408.03	5471.27	4220.73	2997.50
Tmem250-ps	5.75	483.00	329.25	1111.72	1029.61	941.49	713.04	315.94
Tmem251	323.88	83.92	195.80	36.21	84.95	257.97	209.99	108.98
Tmem254a	43.65	37.92	32.22	12.76	37.49	21.28	21.15	10.26
Tmem254b	394.87	314.46	533.56	562.68	92.46	84.45	135.44	126.42
Tmem254c	448.78	484.80	345.76	1262.37	168.96	21.25	137.63	212.66
Tmem258	157.03	969.38	642.21	922.80	463.15	288.74	391.17	419.04
Tmem259	0.96	1.28	278.52	1.14	144.95	106.99	50.00	73.99
Tmem261	134.32	734.75	412.05	173.22	531.81	761.90	649.96	319.95
Tmem263	2.61	298.48	278.00	1109.72	65.51	64.62	70.64	23.62
Tmem265	189.05	325.46	554.03	117.60	277.59	761.82	585.75	245.28
Tmem266	5.04	6.53	515.44	13.76	38.09	83.00	66.03	3.00
Tmem267	3.89	18.20	2.24	1141.83	17.81	25.23	20.67	41.64
Tmem29	406.28	667.42	218.21	544.12	583.79	877.88	643.96	660.89
Tmem30a	149.48	135.74	437.38	247.59	1677.39	1259.83	925.94	786.87
Tmem30c	18.47	63.39	299.11	50.61	263.05	120.92	113.92	79.08
Tmem33	489.65	82.94	1186.46	226.06	952.51	631.85	567.96	407.79
Tmem35b	31.25	324.93	1.92	226.06	1936.80	2346.91	1875.04	1021.11
Tmem38a	5.85	496.13	278.31	278.76	301.89	653.91	529.96	50.99
Tmem38b	73.78	561.06	350.68	181.81	2825.97	1936.74	1451.90	1239.79
Tmem39a	147.57	180.96	676.85	1045.76	2492.09	2372.68	3268.68	1380.77
Tmem39b	14.37	226.38	420.82	465.83	965.65	874.88	1785.88	631.89
Tmem41b	8519.17	14174.39	19470.89	24549.57	2106.51	3385.98	2064.41	1892.68
Tmem42	9.58	112.21	16.49	328.46	442.84	469.94	184.99	145.98
Tmem43	0.96	434.22	58.45	403.19	309.89	28.00	467.97	276.95
Tmem44	5.79	47.01	32.34	109.12	112.60	57.11	46.27	38.20
Tmem47	31.31	1.02	406.22	0.98	2118.24	1359.82	1391.01	1232.61
Tmem5	39.92	113.47	624.50	96.94	1746.57	1499.10	1554.63	574.42
Tmem50a	172.28	537.04	421.96	10.53	2664.75	2423.29	2590.29	1111.77
Tmem50b	902.64	3582.03	3264.25	2710.80	570.79	271.96	419.97	156.97
Tmem55a	769.45	451.78	1575.51	1551.12	418.85	479.94	332.98	273.95
Tmem55b	113.99	2791.81	813.41	445.92	3150.44	1720.74	1250.94	802.62
Tmem56	189.73	391.28	1525.47	424.72	345.87	103.99	172.99	119.98
Tmem57	445.57	87.82	267.88	1.96	7353.32	7532.99	4426.71	3629.39
Tmem59	1547.53	2810.21	3261.33	5045.79	598.78	1413.81	1099.93	587.90
Tmem60	1.92	299.56	499.72	12.72	6440.65	6431.14	4279.72	2813.53
Tmem62	237.64	4.88	110.15	878.81	318.88	540.93	100.99	319.95
Tmem63b	65.62	205.89	34.59	12.72	1005.66	858.50	1124.93	520.91
Tmem64	96.78	822.57	1012.10	1506.11	172.94	38.99	113.99	42.99
Tmem65	406.14	1968.11	546.92	344.92	3117.98	2267.63	2133.98	1512.20
Tmem68	1013.20	33.18	560.25	148.75	181.96	177.98	181.99	336.01
Tmem69	356.16	364.74	458.74	115.01	9.38	6.07	10.26	8.00
Tmem70	29.06	364.33	396.36	487.70	9.21	113.88	21.14	46.16
Tmem72	82.39	405.87	228.12	80.69	7110.01	5315.76	4297.57	2472.46
Tmem8	141.82	651.04	103.26	118.41	1223.55	1142.85	1130.93	830.86
Tmem80	38.77	323.47	17.39	67.14	204.98	61.98	88.99	28.93
Tmem86a	28.21	105.58	82.69	19.03	123.92	126.98	30.00	49.99
Tmem87a	91.60	863.61	715.91	320.35	2769.59	4121.40	1471.24	1075.01
Tmem87b	320.05	355.18	195.80	70.46	2643.03	3748.37	2745.82	1470.76
Tmem88b	12.89	29.31	15.77	18.42	61.09	13.69	12.25	14.37
Tmem9	0.96	7.58	556.36	3.91	616.78	117.98	337.98	189.97
Tmem91	19.83	3.63	12.28	1.02	7.35	1.08	6.37	9.09
Tmem92	556.25	644.95	188.00	586.20	1100.60	1125.85	815.80	793.84
Tmem94	1.92	33.93	0.84	12.93	171.94	363.95	516.97	198.97
Tmem97	737.83	2095.83	2215.86	3632.03	1064.44	1030.84	940.90	1011.35
Tmem9b	233.28	167.83	253.27	95.91	656.76	423.94	427.97	693.88
Tmf1	258.78	832.89	101.70	545.35	8448.22	7098.09	6821.72	4248.46
Tmod2	2.06	9.22	4.34	0.89	3.17	31.06	73.72	17.88
Tmod3	754.72	47.53	58.05	1715.66	1651.58	918.54	410.97	731.10
Tmpo	214.39	1181.25	776.04	2044.50	2669.73	2076.37	1630.99	1062.92
Tmprss11a	19.54	19.52	2.92	13.70	625.89	688.91	1192.92	274.54
Tmsb10	208.47	1425.59	415.95	983.12	549.57	438.92	477.33	527.91
Tmtc1	1.92	2.35	2.43	0.66	1178.45	1698.27	1021.93	706.37
Tmtc3	51.74	528.68	0.97	1294.09	2999.35	2073.04	1869.72	977.34
Tmtc4	85.28	354.22	246.45	438.42	1653.40	2266.70	1548.90	373.94
Tmub1	0.82	0.98	1.04	1.22	197.93	173.98	53.00	113.67
Tmx1	106.36	0.98	573.75	660.57	17.99	254.97	8.00	40.99
Tmx3	9.58	321.03	579.60	449.34	414.34	37.00	49.00	237.96
Tmx4	5.42	522.96	1.04	113.78	41.48	220.68	146.56	24.00
Tnfaip1	376.58	1151.40	18.51	886.64	1475.46	3790.49	1798.88	1496.75
Tnfrsf10b	119.99	238.99	79.88	45.91	216.93	86.92	142.71	55.14
Tnfrsf11a	120.94	3.26	1.62	4.27	20.07	158.13	47.48	25.30
Tnfrsf22	17.25	4.11	1.37	1.39	12.22	15.78	8.00	11.92
Tnfrsf26	5.84	219.05	1.97	5.56	36.57	2.72	131.78	35.36
Tnfsf10	29.68	98.67	259.12	49.25	119.07	59.61	49.52	42.61
Tnfsf13b	220.39	1028.46	1681.42	103.73	26919.24	31691.24	25170.16	18797.85
Tnik	0.31	2.61	4.28	3.99	370.35	1457.04	927.32	353.94
Tnip1	260.64	2181.81	207.49	210.40	489.82	244.97	654.96	229.96
Tnk2	61.97	1.03	5.84	44.86	620.77	360.95	746.95	704.88
Tnks	226.14	594.24	602.66	326.86	7452.28	7226.03	6200.59	4126.31
Tnks2	964.93	3432.93	2254.33	1211.31	2498.82	1980.80	2030.70	1809.98
Tnnc2	182.40	102.38	104.91	46.39	50.49	22.23	27.43	41.32
Tnpo1	422.57	1567.11	4982.70	4536.91	19537.12	20151.09	16637.87	12909.22
Tnpo2	285.55	1100.66	1511.63	127.22	1202.56	1581.79	797.95	585.90
Tnpo3	574.40	2726.29	695.05	845.81	737.05	81.25	155.20	287.13
Tnr	2.97	8.38	3.83	5.44	74.56	275.64	280.43	147.51
Tnrc18	309.01	543.50	1187.44	1013.86	866.73	736.09	521.93	440.47
Tnrc6a	226.14	73.67	254.24	3.91	2998.91	2479.66	2024.87	1997.67
Tnrc6b	31.67	35.74	1.96	12.91	10663.01	8125.20	5011.11	4680.50
Tnrc6c	286.90	10.16	20.07	4.94	2916.67	1691.03	1957.79	1253.32
Tns3	216.39	11.71	5.87	28.40	508.27	303.39	213.91	119.39
Tob1	69.57	155.78	0.97	189.85	40.99	156.08	113.08	71.99
Tob2	0.96	2.72	18.51	87.10	6321.69	5135.31	3826.75	1891.68
Toe1	1466.08	190.27	2322.29	370.90	464.77	267.73	36.00	139.98
Togaram1	3.13	410.55	71.48	34.26	6463.35	8211.32	5536.64	4610.41
Tollip	10.54	1555.37	3487.33	838.68	3626.68	2124.72	2331.85	1593.73
Tom1	603.68	1412.39	283.47	1485.56	736.73	149.98	469.97	318.95
Tom1l1	152.60	48.78	78.38	472.68	1344.51	1642.78	1192.14	524.87
Tom1l2	12.46	1380.83	707.21	411.02	2110.23	3398.55	2209.85	1469.75
Tomm20	950.03	3657.32	3569.44	4048.00	336.04	109.21	112.23	24.48
Tomm22	1733.21	4188.96	6567.28	5644.31	652.76	863.88	739.95	782.32
Tomm34	150.44	1.95	181.44	111.60	6917.48	6467.14	4380.71	5835.05
Tomm40	177.02	321.09	46.21	849.61	221.97	40.01	37.64	23.00
Tomm6	652.55	3983.07	4770.45	3015.14	256.91	188.84	407.97	337.94
Tomm7	689.92	1428.52	3048.98	2637.40	57.98	40.99	113.99	96.98
Tomm70a	146.61	3097.08	2080.71	1801.65	122.96	289.96	226.98	55.99
Tomt	0.96	4.24	0.33	0.66	352.73	31.36	202.42	150.80
Tonsl	324.84	555.21	468.55	1071.60	1028.62	758.90	678.95	118.98
Top1	1255.27	3861.57	4413.70	3763.80	22105.11	29298.09	21444.55	19368.88
Top2a	2912.49	3033.48	7022.94	4578.54	3473.49	3688.50	1856.87	1900.80
Top2b	0.96	0.98	12.85	2.28	845.63	1823.72	960.94	652.89
Top3a	128.37	802.08	680.91	366.01	429.84	282.96	227.98	223.96
Top3b	1.45	34.02	352.12	125.61	236.02	430.67	219.82	209.89
Topbp1	1474.10	1209.22	1960.91	1226.00	2099.95	2399.51	1586.47	1341.22
Topors	23.96	510.33	429.58	1447.39	3104.87	2961.60	1438.90	1079.82
Toporsos	30.35	68.25	250.97	45.71	45.51	23.75	50.22	28.69
Tor1a	116.90	262.48	710.13	484.42	10801.08	8104.92	6608.56	5791.04
Tor1aip1	91.06	385.43	148.97	19.24	319.94	312.08	383.97	223.92
Tor1aip2	171.89	1284.56	1280.73	997.31	49.14	20.17	60.98	38.26
Tor2a	479.36	532.26	180.35	513.78	179.51	471.96	562.76	263.98
Tor3a	0.50	129.50	133.50	190.83	1000.64	1658.77	911.94	498.92
Tox	2.80	5.23	2.64	5.89	1244.07	975.53	401.04	357.71
Tox4	1109.71	3155.48	3454.04	1210.40	927.79	187.14	248.79	131.09
Tpcn1	1.58	68.30	558.42	9.79	1.00	6.00	16.05	20.00
Tpd52	2869.26	3943.72	8468.28	9268.36	3964.96	5393.63	4324.82	1898.07
Tpd52-ps	22.56	15.27	92.75	101.50	46.60	62.51	71.19	19.87
Tpd52l2	1890.57	4294.35	8691.04	4150.36	13037.24	13408.21	10652.29	6775.87
Tpgs2	5.75	182.47	80.85	1.96	7321.73	7410.34	6782.49	3601.64
Tpi1	0.96	15.61	301.00	32.29	2975.90	2915.61	1918.87	1400.77
Tpk1	178.42	0.98	15.82	553.68	1474.25	645.03	659.31	397.93
Tpm1	458.03	40.98	230.87	529.44	2.00	149.98	100.99	68.99
Tpm3	1699.29	6396.13	7016.98	5253.05	1263.38	1772.20	1448.41	882.39
Tpm3-rs7	468.05	3067.08	2604.95	1413.97	2146.02	2640.24	2435.84	1289.07
Tpm4	1293.53	309.32	1627.61	5532.20	208.89	173.48	65.00	45.82
Tpmt	280.96	324.91	273.90	14.05	1575.59	2143.64	1826.88	801.22
Tpp1	180.13	1.95	0.88	8.81	13.08	150.98	12.00	158.97
Tpp2	285.73	1027.54	2580.19	2873.39	1230.36	2809.86	1989.88	1204.80
Tppp3	158.31	2.06	3.50	1.00	1.03	232.97	60.29	96.13
Tpr	1280.85	6252.03	4848.62	4728.10	9053.36	6425.92	5979.21	3828.35
Tpra1	1.92	0.98	82.34	0.98	1367.50	2598.65	1754.88	1180.80
Tprgl	26.83	437.14	414.97	559.77	2093.24	1890.75	1549.90	327.95
Tprkb	3.30	1028.60	8.05	262.32	26.04	104.89	26.25	67.13
Tprn	93.91	492.76	786.11	7.83	2765.99	1755.77	1644.89	890.85
