	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
Csnk1e	576.84	2182.91	3548.69	2405.28	16355.71	20004.83	14144.72	9904.98
Csnk1g1	131.08	1489.27	353.33	58.72	5596.40	3919.49	3038.82	2020.66
Csnk1g2	78.79	105.38	42.86	323.81	134.95	399.95	187.99	132.98
Csnk1g3	491.63	757.19	1188.14	509.86	3507.16	4893.05	3254.39	3071.21
Csnk2a1	453.56	1103.50	1847.13	2298.91	7444.03	5283.35	4853.81	3448.87
Csnk2a2	387.12	1967.14	833.80	825.96	16688.91	16779.76	13679.10	9579.41
Csnk2b	1089.50	3570.32	3402.58	2531.70	5523.99	5671.25	6628.56	3653.39
Cspg5	7.39	6.43	3.24	2.16	940.95	651.54	396.82	400.65
Cspp1	212.72	157.10	144.17	318.05	501.83	106.99	185.99	426.93
Csrnp1	0.96	326.66	543.56	19.57	47.98	16.00	6.00	4.23
Csrnp2	332.08	86.37	697.90	1019.10	4667.86	8716.96	3610.91	4211.78
Csrnp3	0.41	0.92	12.96	2.95	243.98	284.79	106.01	271.21
Csrp1	40.25	650.66	53.58	595.00	395.86	232.97	669.96	251.96
Cst3	27.79	287.85	252.30	851.40	293.89	10.00	116.99	176.97
Cstb	668.84	3825.00	4022.11	2307.60	11.00	37.99	38.00	20.00
Cstf1	63.24	2105.70	3494.14	2019.88	3017.90	3685.51	3424.77	1804.70
Cstf2	343.23	698.65	569.86	1143.36	645.22	607.45	493.92	381.63
Cstf2t	117.55	0.98	566.93	718.31	66.98	516.93	421.97	539.91
Cstf3	121.37	2703.18	355.67	1441.52	324.13	709.90	409.99	405.96
Ctage5	32.80	696.88	21.21	196.77	6366.75	5755.28	5163.00	3496.77
Ctbp1	5.75	80.01	0.97	2.30	326.88	77.99	227.98	226.96
Ctbp2	492.83	767.27	761.76	380.69	13759.50	21218.21	13649.92	11665.97
Ctbs	3.97	129.32	1.24	0.98	458.85	209.73	365.33	124.98
Ctc1	5.75	41.72	207.66	484.28	197.43	405.30	289.44	228.16
Ctcf	175.35	980.64	160.73	2272.37	8845.77	8420.87	5855.61	4417.27
Ctdnep1	92.55	435.19	157.81	56.76	1291.12	1440.50	1004.73	341.94
Ctdp1	0.96	865.04	440.30	347.41	506.82	304.96	268.98	185.97
Ctdsp1	38.33	88.12	6.73	6.27	1870.02	1106.44	898.81	840.86
Ctdsp2	5.75	486.91	199.53	331.03	2195.20	1580.54	1928.87	1045.83
Ctdspl2	439.11	1196.00	2147.72	1043.17	5373.25	4165.39	3109.56	2196.65
Ctf2	22.39	117.03	66.49	21.45	74.06	56.52	124.58	91.93
Cth	1857.02	1403.15	6290.83	4183.63	914.67	1639.78	962.94	910.85
Ctif	1.16	1.17	118.21	3.42	698.99	432.95	627.20	348.13
Ctnna1	2263.31	2666.77	1810.88	1851.56	8434.92	7050.06	5894.41	3238.46
Ctnna3	2.44	4.78	7.16	1.26	1182.63	2034.73	1437.10	1012.99
Ctnnal1	83.37	341.52	528.94	710.50	22834.66	25316.64	20068.65	14136.68
Ctnnb1	187.42	3665.95	387.36	923.06	12899.81	18555.04	12620.84	9072.31
Ctnnbip1	16.80	57.57	212.36	15.16	2324.35	1866.92	1329.87	978.14
Ctnnbl1	66.12	287.85	858.19	851.40	3240.82	4397.41	3308.78	1634.73
Ctnnd1	933.31	1209.95	1200.64	983.52	12881.30	13794.54	10678.30	8116.65
Ctns	0.96	1.38	0.98	26.43	484.82	581.92	781.54	639.89
Ctps	626.68	908.43	1015.02	1070.62	11728.71	12024.33	10904.29	7392.77
Ctps2	587.39	766.55	402.31	0.96	208.92	513.93	291.03	156.97
Ctr9	547.14	1854.95	149.50	341.54	287.91	255.97	137.99	95.24
Ctsb	665.96	2869.45	3049.95	1686.17	1192.57	700.12	808.74	507.92
Ctsd	1664.43	4821.26	5605.50	5513.58	169.94	238.97	282.98	173.97
Ctsh	1.81	175.39	0.97	421.51	1583.12	1450.65	1179.61	781.19
Ctsl	2029.74	6359.18	10309.59	6623.01	139.72	67.62	152.53	52.40
Cttn	708.49	3990.82	2401.44	2921.39	365.87	29.00	31.66	195.50
Cttnbp2nl	1.87	218.81	225.57	556.59	7196.38	8808.82	6924.54	4220.30
Ctu1	1.21	274.19	269.48	68.99	295.89	344.95	206.99	99.98
Ctxn1	40.97	20.18	120.07	205.88	120.96	152.98	85.99	44.99
Cubn	15.94	166.21	19.02	91.25	363.87	809.89	551.96	161.97
Cul1	1444.04	1635.38	2618.42	2793.00	63168.98	58283.05	57401.19	31770.67
