ProbeSet	log2(FC)	p-value
201329_s_at	 -0.3247	3.21e-02
201333_s_at	  0.0240	8.91e-01
201334_s_at	 -0.0675	5.45e-01
201335_s_at	 -0.0345	7.47e-01
201337_s_at	 -0.0643	6.15e-01
201342_at	 -0.3828	4.68e-03
201343_at	  0.0236	9.06e-01
201346_at	 -0.3074	5.95e-03
201350_at	  1.1860	2.07e-03
201352_at	 -0.0124	9.48e-01
201353_s_at	 -0.1909	2.45e-01
201355_s_at	  0.0717	4.77e-01
201357_s_at	  0.0960	5.31e-01
201358_s_at	  0.2419	3.57e-01
201360_at	 -0.1678	2.78e-01
201361_at	 -0.3278	6.69e-03
201362_at	 -0.0145	9.55e-01
201364_s_at	  0.0461	3.67e-01
201367_s_at	  0.4894	3.68e-02
201372_s_at	  0.0262	7.83e-01
201373_at	  0.3905	3.07e-03
201376_s_at	 -0.0121	9.25e-01
201380_at	  0.1149	2.62e-01
201381_x_at	 -0.7653	2.09e-02
201383_s_at	  0.2981	9.13e-03
201384_s_at	  0.6503	6.94e-02
201385_at	 -0.7848	7.85e-03
201387_s_at	  0.0802	2.83e-01
201393_s_at	  0.2010	4.23e-01
201394_s_at	  0.4851	4.59e-02
201396_s_at	 -0.1509	1.59e-01
201397_at	 -0.3849	4.81e-02
201401_s_at	 -0.6549	3.99e-02
201402_at	  0.1840	1.62e-01
201403_s_at	  1.8414	2.88e-04
201404_x_at	 -0.4110	5.66e-02
201405_s_at	  0.0761	2.97e-01
201408_at	 -0.2358	1.98e-01
201411_s_at	 -0.2662	1.89e-01
201413_at	  0.2295	3.73e-01
201415_at	 -0.5405	2.01e-03
201416_at	  0.0720	2.39e-01
201417_at	 -0.0358	7.72e-01
201418_s_at	  0.5271	5.28e-02
201420_s_at	 -0.6984	1.76e-03
201421_s_at	 -0.2802	1.54e-02
201422_at	  0.1096	3.29e-02
201423_s_at	  0.0492	7.18e-01
201426_s_at	 -1.7335	9.83e-05
201427_s_at	  0.7077	6.62e-03
201430_s_at	  0.1801	2.04e-01
201433_s_at	 -0.1331	4.99e-01
201436_at	 -0.4493	1.81e-02
201440_at	 -0.3075	1.58e-01
201441_at	 -0.0506	6.53e-01
201443_s_at	  0.1897	5.13e-01
201444_s_at	  0.1661	3.78e-01
201448_at	  0.2002	2.69e-01
201450_s_at	 -0.1450	1.90e-01
201451_x_at	  0.1651	2.37e-01
201453_x_at	 -0.5129	5.85e-03
201454_s_at	  0.3922	2.30e-02
201455_s_at	  0.3123	1.46e-01
201456_s_at	  0.0111	9.59e-01
201457_x_at	 -0.5844	2.82e-02
201463_s_at	 -0.0748	5.66e-01
201465_s_at	 -0.3352	2.59e-02
201466_s_at	 -0.1544	5.10e-02
201468_s_at	 -1.1663	4.10e-03
201470_at	 -0.2909	2.61e-02
201471_s_at	  0.1949	1.62e-01
201472_at	 -0.2285	3.64e-01
201477_s_at	 -0.1713	4.70e-01
201480_s_at	  0.1928	7.87e-03
201482_at	 -0.3035	6.69e-02
201483_s_at	  0.0252	7.93e-01
201485_s_at	 -0.3142	2.13e-01
201487_at	 -1.6204	1.69e-03
201488_x_at	  0.0882	7.39e-01
201489_at	 -0.2956	7.56e-02
201490_s_at	 -0.3440	6.70e-02
201491_at	 -0.8739	1.09e-03
201492_s_at	 -0.1076	1.61e-01
201494_at	  0.5739	1.38e-02
201496_x_at	  0.1342	3.08e-01
201497_x_at	  0.2290	2.11e-01
201501_s_at	 -0.5362	1.33e-01
201508_at	 -2.9936	8.40e-07
201511_at	 -0.0622	6.28e-01
201512_s_at	 -0.3164	1.68e-01
201514_s_at	 -0.3259	4.53e-02
201515_s_at	 -0.4967	4.76e-02
201517_at	 -0.1377	3.67e-01
201518_at	 -0.6356	1.13e-01
201519_at	 -0.5983	1.35e-02
201520_s_at	 -0.2034	4.01e-01
201522_x_at	  0.1820	2.56e-01
201523_x_at	 -0.9091	3.93e-03
201525_at	  0.5058	2.79e-02
201527_at	  0.4594	4.93e-03
201529_s_at	  0.4083	1.22e-01
201531_at	 -0.2958	1.41e-01
201532_at	 -0.7657	7.65e-02
201533_at	 -0.4011	9.97e-02
201534_s_at	  0.1491	1.16e-01
201537_s_at	 -0.0961	1.07e-01
201538_s_at	 -0.0163	8.88e-01
201540_at	 -0.4669	1.27e-02
201543_s_at	 -0.9829	3.52e-04
201545_s_at	  0.2206	4.81e-01
201546_at	  0.2030	3.42e-01
201549_x_at	 -0.2797	2.71e-01
201550_x_at	 -1.1981	2.27e-03
201551_s_at	  0.3531	1.28e-01
201552_at	  0.2805	2.18e-01
201553_s_at	  0.4315	2.77e-02
201557_at	  0.2217	7.36e-02
201560_at	 -0.0472	7.69e-01
201562_s_at	  1.3285	2.69e-04
201565_s_at	  0.2639	7.49e-03
