ProbeSet	log2(FC)	p-value
218648_at	  0.4052	3.15e-02
218649_x_at	 -0.2763	2.63e-01
218650_at	  0.2584	2.27e-01
218653_at	 -0.5792	3.14e-02
218654_s_at	  0.1101	3.97e-01
218655_s_at	 -0.0563	4.75e-01
218657_at	 -0.3198	1.99e-01
218658_s_at	  0.0844	4.36e-01
218660_at	  0.5847	6.87e-04
218661_at	  0.1963	3.77e-02
218664_at	 -0.0737	4.58e-01
218666_s_at	  0.0080	8.86e-01
218667_at	  0.0368	4.69e-01
218671_s_at	  0.6281	3.03e-03
218673_s_at	 -0.0522	5.28e-01
218674_at	 -0.2589	1.07e-01
218677_at	  0.1910	4.01e-02
218681_s_at	 -0.9888	1.07e-02
218682_s_at	 -0.3796	4.99e-02
218683_at	 -0.3541	1.54e-02
218687_s_at	  0.3854	4.99e-02
218688_at	  0.4770	9.76e-02
218694_at	  0.1479	1.90e-01
218696_at	 -0.3099	1.84e-02
218697_at	  0.1382	1.15e-01
218700_s_at	 -0.0212	7.39e-01
218701_at	  0.0055	9.61e-01
218703_at	 -0.0973	4.72e-01
218704_at	  0.3123	1.10e-01
218705_s_at	  0.2576	6.96e-02
218706_s_at	  0.1338	2.19e-01
218709_s_at	  0.5090	3.53e-05
218710_at	 -0.3897	1.37e-01
218711_s_at	 -0.3528	1.70e-01
218713_at	  0.2876	2.16e-01
218714_at	 -0.0911	5.92e-01
218716_x_at	 -0.3676	5.32e-02
218720_x_at	  0.1033	3.89e-01
218722_s_at	 -0.1622	5.95e-02
218725_at	 -0.0694	5.82e-01
218728_s_at	 -1.0333	2.16e-02
218730_s_at	 -0.1773	2.35e-01
218732_at	  0.0504	3.07e-01
218733_at	  0.2324	1.24e-01
218735_s_at	  0.0038	9.72e-01
218736_s_at	  0.4856	7.87e-02
218738_s_at	 -0.1576	6.35e-01
218739_at	  2.3815	3.45e-03
218742_at	  0.2115	1.04e-02
218745_x_at	 -0.0894	2.52e-01
218746_at	  0.0559	1.09e-01
218749_s_at	 -0.0116	9.20e-01
218750_at	 -0.2108	3.14e-01
218751_s_at	 -0.1120	3.83e-01
218752_at	  0.2287	1.17e-01
218753_at	  0.2210	5.88e-02
218756_s_at	  0.8007	3.93e-02
218757_s_at	 -0.6700	4.06e-02
218758_s_at	  0.0877	6.53e-01
218759_at	  0.2331	1.03e-01
218760_at	  0.2483	1.14e-01
218761_at	  0.0026	9.92e-01
218764_at	 -0.1150	4.93e-01
218765_at	  0.2320	1.47e-02
218766_s_at	  0.2831	5.95e-02
218768_at	 -0.8920	4.32e-03
218770_s_at	  0.1656	2.04e-01
218771_at	 -0.0036	9.76e-01
218772_x_at	  0.4513	3.06e-01
218778_x_at	  0.1609	3.16e-01
218779_x_at	  0.0855	2.73e-01
218780_at	  0.0000	1.00e+00
218781_at	 -0.2213	2.46e-01
218782_s_at	 -0.0126	9.17e-01
218783_at	  0.3959	5.01e-02
218784_s_at	  0.3140	1.43e-02
218785_s_at	  0.5104	4.72e-02
218787_x_at	  0.1817	7.37e-02
218789_s_at	  0.0554	6.48e-01
218791_s_at	  0.0555	4.02e-01
218792_s_at	  0.3542	7.27e-02
218794_s_at	  0.2625	5.64e-02
218795_at	  0.0651	4.99e-01
218797_s_at	  0.4666	4.60e-02
218800_at	  0.0766	4.82e-01
218802_at	 -0.0742	6.60e-01
218803_at	  0.6468	4.76e-02
218804_at	  0.2988	7.71e-02
218809_at	  0.6887	4.06e-02
218811_at	  0.0317	8.18e-01
218813_s_at	  0.9333	1.80e-03
218816_at	 -0.0165	8.43e-01
218817_at	 -0.8752	3.02e-03
218818_at	 -0.2122	1.45e-01
218819_at	 -0.0308	8.23e-01
218822_s_at	  0.2201	2.24e-01
218823_s_at	 -0.0892	6.63e-01
218824_at	 -0.0467	8.45e-01
218825_at	 -1.3127	6.86e-03
218829_s_at	 -0.4834	2.41e-02
218831_s_at	  0.1624	3.61e-01
218832_x_at	 -0.0618	2.52e-01
218833_at	  0.0689	4.67e-01
218836_at	 -0.1145	1.22e-01
218841_at	  0.1768	1.63e-01
218844_at	  0.6342	3.05e-02
218845_at	  0.1800	2.17e-01
218847_at	 -0.0186	7.84e-01
218848_at	  0.1671	2.36e-01
218849_s_at	  0.2421	2.15e-03
218850_s_at	  0.8001	2.91e-03
218852_at	  0.5172	3.48e-02
218856_at	 -0.4626	1.24e-01
218857_s_at	  0.4473	1.50e-02
218859_s_at	 -0.3474	9.10e-02
218861_at	  0.2008	2.10e-01
218863_s_at	  0.3854	1.01e-01
218864_at	  0.8263	5.60e-03
218870_at	  0.6734	1.93e-02
218871_x_at	 -0.0348	7.09e-01
218872_at	  2.0623	2.23e-04
218873_at	 -0.1888	1.17e-01
218874_s_at	  0.2953	7.18e-02
218877_s_at	 -1.1038	2.30e-02
218879_s_at	  0.1694	1.93e-01
218880_at	  0.0510	2.30e-01
218881_s_at	  0.3071	9.05e-02
218882_s_at	 -1.2986	3.14e-03
218883_s_at	 -0.3534	1.39e-01
218887_at	 -0.5871	4.23e-04
218888_s_at	 -0.1369	3.26e-01
218890_x_at	  0.3568	1.24e-01
218891_at	  0.2207	1.76e-01
218894_s_at	 -0.5660	3.05e-02
218895_at	  0.3058	2.81e-02
218898_at	 -0.1240	2.17e-01
218900_at	 -0.1207	1.47e-01
218902_at	 -0.5491	8.69e-04
218905_at	  0.2583	9.81e-02
218907_s_at	 -0.2674	8.80e-02
218908_at	  0.5626	5.85e-02
218909_at	  1.3379	1.67e-02
218910_at	  0.4767	1.44e-02
218911_at	  0.0593	7.12e-01
218912_at	 -0.0451	7.41e-01
218913_s_at	 -0.3838	9.59e-02
218915_at	  0.1573	5.39e-02
218916_at	 -0.2059	6.94e-02
218920_at	  0.0153	8.41e-01
218922_s_at	 -0.0017	9.89e-01
218925_s_at	 -0.0591	4.58e-01
218926_at	  0.3575	2.94e-02
218927_s_at	  0.2328	2.02e-01
218928_s_at	  0.0972	1.88e-01
218931_at	  0.0137	8.98e-01
218933_at	 -0.2561	2.74e-02
218934_s_at	  0.0770	3.14e-01
218935_at	  0.2467	3.79e-02
218936_s_at	 -0.5039	1.17e-01
218937_at	 -0.0315	7.02e-01
218940_at	 -0.1508	9.02e-02
218941_at	 -0.2075	2.23e-01
218944_at	 -0.1989	1.83e-01
218945_at	 -0.1844	3.33e-01
218947_s_at	 -0.3139	5.17e-02
218948_at	  0.0924	5.26e-01
218949_s_at	 -0.2338	1.40e-01
218950_at	  0.2101	3.94e-01
218952_at	  0.3265	1.38e-02
218954_s_at	  0.2337	1.27e-01
218955_at	  0.2975	6.41e-03
218956_s_at	 -0.1924	1.57e-01
218961_s_at	 -0.3973	3.31e-02
218964_at	  0.2521	7.10e-02
218966_at	  0.0298	8.91e-01
218973_at	  0.3866	5.46e-02
218975_at	  0.3859	7.93e-02
218978_s_at	  2.4829	1.54e-04
218979_at	 -0.0574	6.62e-01
218982_s_at	 -0.8094	4.72e-02
218984_at	 -0.7920	9.98e-03
218985_at	  0.0740	5.28e-01
218990_s_at	  0.2087	1.69e-01
218991_at	  0.0921	1.73e-01
218992_at	  0.2028	4.61e-03
218995_s_at	  0.3972	1.43e-01
218997_at	 -0.2366	2.74e-01
218998_at	  0.1156	4.98e-01
218999_at	  0.2968	9.79e-02
219000_s_at	 -0.1832	1.27e-01
219001_s_at	  0.6032	2.12e-02
219003_s_at	  0.0330	6.74e-01
219006_at	 -1.4849	5.32e-04
219007_at	  0.0553	7.76e-01
219008_at	  0.2249	4.60e-01
219011_at	  0.3567	6.95e-02
219016_at	 -0.0316	8.29e-01
219018_s_at	 -0.2539	1.02e-01
219019_at	  0.2893	5.66e-02
219022_at	 -0.0826	3.91e-01
219023_at	 -0.3110	1.68e-03
219025_at	  0.3724	8.77e-02
219026_s_at	  0.1765	2.47e-01
219027_s_at	  0.3892	6.63e-02
219029_at	  0.3112	1.56e-01
219032_x_at	  0.8546	2.40e-02
219033_at	  0.3035	1.02e-01
219034_at	  0.3996	1.71e-02
219035_s_at	 -0.2378	1.00e-01
219036_at	 -0.3384	2.17e-02
219037_at	  0.6121	3.07e-02
219038_at	 -0.2582	7.71e-02
219042_at	  0.2172	2.69e-01
219046_s_at	  0.2107	1.11e-01
219047_s_at	  0.1643	3.06e-01
219048_at	  0.3854	2.61e-02
219049_at	  0.1641	1.05e-01
219050_s_at	  0.0146	8.95e-01
219051_x_at	 -0.0783	5.82e-01
219054_at	  0.5285	1.17e-01
219056_at	  0.0662	3.70e-01
219057_at	  0.2652	4.83e-02
219060_at	 -0.4862	2.27e-02
219062_s_at	 -0.0017	9.80e-01
219067_s_at	 -0.3472	1.96e-01
219068_x_at	 -0.2214	2.94e-02
219069_at	  0.0919	5.04e-01
219071_x_at	 -0.2602	2.02e-03
219075_at	  0.0427	8.13e-01
219076_s_at	  0.5850	1.28e-02
219077_s_at	  0.3012	1.72e-01
219078_at	  0.0341	8.43e-01
219079_at	 -0.9167	1.15e-02
219083_at	 -0.3839	1.71e-01
219084_at	 -0.0038	9.64e-01
219086_at	  0.2940	1.70e-01
219087_at	  0.0702	2.51e-01
219089_s_at	  0.1230	2.30e-01
219090_at	  0.3725	7.06e-02
219091_s_at	  0.1382	1.65e-01
219094_at	 -0.3065	5.19e-02
219095_at	  0.3162	2.46e-02
219096_at	  0.2278	6.00e-02
219098_at	 -0.3507	2.73e-01
219099_at	  0.2187	7.68e-02
219102_at	  0.0241	8.35e-01
219107_at	  0.3348	4.56e-02
219110_at	 -0.2327	3.48e-01
219112_at	 -0.1247	3.42e-01
219115_s_at	  0.2413	6.50e-02
219117_s_at	 -0.2423	2.13e-01
219119_at	  0.0509	7.75e-01
219120_at	  0.0886	4.85e-01
219123_at	 -0.0529	4.66e-01
219124_at	 -0.3555	1.08e-02
219127_at	  0.2690	1.56e-01
219130_at	  0.1004	4.08e-01
219131_at	 -0.2480	2.56e-04
219132_at	 -0.1168	1.72e-01
219135_s_at	  0.2492	1.48e-01
219138_at	 -0.0347	5.87e-01
219139_s_at	  0.1808	1.99e-01
219142_at	  0.0649	4.56e-01
219144_at	  0.0680	5.48e-01
219147_s_at	  0.3051	1.68e-01
219149_x_at	 -0.0217	6.72e-01
219152_at	 -0.1429	1.83e-01
219153_s_at	  0.1446	3.81e-01
219154_at	  0.7407	7.34e-03
219156_at	  0.0702	5.61e-02
219161_s_at	 -0.5311	3.05e-01
219163_at	 -0.0106	9.06e-01
219164_s_at	 -0.0270	6.34e-01
219165_at	  0.1520	8.76e-02
219174_at	  0.1165	4.09e-01
219175_s_at	  0.3538	1.64e-02
219177_at	 -0.9215	5.22e-03
219183_s_at	  0.0543	5.10e-01
219184_x_at	  0.1864	1.96e-01
219185_at	  0.0278	6.37e-01
219187_at	  1.1708	8.94e-03
219188_s_at	  0.1607	4.56e-01
219189_at	 -0.1400	5.71e-02
219193_at	  0.0020	9.84e-01
219195_at	  0.0162	8.05e-01
219198_at	 -0.1815	1.31e-01
219200_at	  0.1681	6.54e-01
219201_s_at	 -0.2029	2.51e-01
219202_at	 -0.2922	8.36e-03
219203_at	 -0.2793	1.68e-02
219204_s_at	 -0.2763	2.31e-01
219206_x_at	 -0.1801	1.57e-01
219214_s_at	 -0.0767	5.45e-01
219215_s_at	 -0.3600	1.45e-01
219217_at	 -0.7637	8.34e-04
219218_at	  0.2023	1.15e-01
219221_at	  0.0267	8.24e-01
219226_at	 -0.0985	5.81e-01
219229_at	  0.1874	5.70e-02
219230_at	  0.0930	4.76e-01
219232_s_at	 -0.9980	2.66e-02
219233_s_at	 -0.0380	3.68e-01
219234_x_at	 -0.1092	4.56e-01
219235_s_at	 -0.0270	6.31e-01
219237_s_at	 -0.0973	4.46e-01
219238_at	 -0.1232	2.89e-01
219243_at	  0.2033	1.07e-01
219244_s_at	 -0.2211	1.39e-01
219246_s_at	 -0.1248	1.87e-01
219253_at	 -0.5367	3.61e-02
219256_s_at	  0.3950	9.32e-02
219258_at	 -0.5039	1.57e-02
219261_at	 -0.2633	1.67e-01
219262_at	 -0.0208	7.99e-01
219266_at	 -0.0004	9.94e-01
219272_at	  0.2629	1.10e-01
219273_at	 -0.0853	4.07e-01
219274_at	  0.2890	2.23e-01
219275_at	 -0.7100	1.81e-02
219276_x_at	 -0.6477	3.29e-03
219277_s_at	  0.1157	2.48e-01
219279_at	  0.2426	2.30e-01
219280_at	  0.1061	1.94e-01
219282_s_at	 -0.9828	7.37e-04
219289_at	 -0.1059	4.15e-01
219290_x_at	  0.0072	9.56e-01
219291_at	 -0.1249	2.83e-01
219293_s_at	 -0.1035	5.14e-01
219294_at	 -0.0348	8.70e-01
219295_s_at	  0.0029	9.10e-01
219298_at	  0.1254	3.49e-02
219299_at	 -0.1115	2.42e-01
219301_s_at	 -0.0678	4.38e-01
219303_at	 -0.1167	2.09e-01
219307_at	 -0.0449	4.73e-01
219311_at	 -0.1023	6.51e-01
219313_at	  0.0936	1.33e-01
219316_s_at	  0.0762	2.78e-01
219318_x_at	  0.2056	1.90e-01
219320_at	  0.0184	9.05e-01
219323_s_at	  0.3704	8.63e-02
219325_s_at	  0.2064	6.78e-02
219326_s_at	 -0.2260	5.14e-02
219328_at	 -0.1527	2.77e-01
219331_s_at	  0.1086	5.48e-01
219332_at	  1.0304	4.67e-03
219333_s_at	 -0.1227	2.94e-01
219334_s_at	  0.0420	7.76e-01
219342_at	  0.3345	4.60e-02
219346_at	  0.0842	1.35e-01
219347_at	 -0.8198	7.30e-03
219350_s_at	 -0.2389	3.17e-02
219351_at	  0.4095	1.15e-01
219355_at	  0.2222	8.15e-02
219357_at	 -0.0809	5.59e-01
219362_at	 -0.2280	1.65e-01
219364_at	  0.2481	1.01e-01
219365_s_at	  0.1560	2.37e-01
219367_s_at	  0.3175	1.77e-01
219368_at	 -0.0929	3.92e-01
219369_s_at	  0.3244	7.90e-02
219374_s_at	 -0.0916	6.92e-01
219377_at	  0.1110	3.99e-01
219379_x_at	  0.4021	1.50e-03
219382_at	 -0.0447	6.97e-01
219383_at	  0.0517	6.41e-01
219384_s_at	  0.0103	9.45e-01
219385_at	  0.5704	1.02e-01
219388_at	  0.1179	2.17e-01
219389_at	  0.4359	9.62e-02
219393_s_at	  0.2241	1.10e-01
219395_at	  0.3669	4.55e-02
219396_s_at	  0.3732	8.28e-02
219399_at	  0.0540	7.21e-01
219400_at	  0.2607	1.46e-01
219401_at	  0.0717	6.05e-01
219403_s_at	 -0.0628	6.75e-01
219407_s_at	  0.0974	4.05e-01
219409_at	 -0.0688	5.85e-01
219410_at	 -0.0550	2.50e-01
219411_at	  0.1522	1.18e-01
219414_at	  0.3769	5.13e-02
219415_at	 -0.2097	1.81e-01
219416_at	  0.2084	2.45e-01
219420_s_at	  0.0526	5.11e-01
219421_at	 -0.1452	6.67e-02
219422_at	 -0.0042	9.63e-01
219423_x_at	  0.2678	1.21e-01
219424_at	  0.0566	7.95e-01
219426_at	  0.1532	3.79e-01
219427_at	  0.2682	8.67e-02
219429_at	  0.1671	3.25e-01
219430_at	 -0.0479	7.66e-01
219433_at	 -0.2784	5.18e-02
219435_at	 -0.2291	1.62e-01
219437_s_at	 -0.5407	4.51e-02
219438_at	  0.4044	1.04e-01
219439_at	  0.0411	7.32e-01
219440_at	  0.1431	1.01e-01
219441_s_at	  0.2241	8.59e-02
219444_at	  0.1065	2.51e-01
219447_s_at	 -0.3355	5.24e-03
219449_s_at	  0.2010	3.42e-01
219450_at	  0.1291	1.24e-01
219451_at	  0.2421	3.60e-02
219452_at	  0.8140	6.79e-03
219453_at	 -0.2733	1.05e-01
219454_at	  0.1276	3.71e-01
219456_s_at	  0.1987	8.58e-02
219457_s_at	  0.1006	5.61e-01
219459_at	 -0.2686	5.56e-02
219462_at	  0.1500	2.67e-01
219463_at	  0.3914	1.08e-01
219464_at	  0.3337	1.61e-01
219468_s_at	  0.3485	1.34e-01
219469_at	  0.4899	1.67e-01
219470_x_at	  0.0081	9.52e-01
219471_at	 -0.1351	2.23e-01
219478_at	  0.4291	8.64e-02
219479_at	 -0.2629	1.73e-01
219480_at	 -0.0792	3.68e-01
219482_at	 -0.1323	1.20e-01
219483_s_at	 -0.1370	1.87e-01
219484_at	  0.3115	1.29e-01
219486_at	  0.0917	5.90e-01
219489_s_at	 -0.0337	8.31e-01
219491_at	 -0.2383	6.71e-02
219495_s_at	  0.5413	3.57e-02
219502_at	 -0.1603	8.97e-02
219503_s_at	  0.3189	2.14e-01
219505_at	  0.2485	2.45e-01
219506_at	  0.1539	1.84e-01
219507_at	 -0.4684	4.09e-02
219508_at	  0.4359	2.52e-02
219509_at	  0.4249	5.44e-02
219510_at	  0.1276	2.37e-01
219514_at	  0.0735	5.50e-01
219515_at	  0.9560	5.94e-02
219516_at	  0.3708	1.50e-01
219518_s_at	 -0.1963	9.62e-02
219520_s_at	  0.2497	5.51e-02
219522_at	 -0.0364	6.69e-01
219523_s_at	  0.0231	8.48e-01
219524_s_at	  0.2525	8.17e-02
219528_s_at	  0.5187	6.51e-02
219530_at	  0.0827	6.17e-01
219532_at	  0.0661	4.74e-01
219533_at	  0.3827	3.13e-02
219535_at	  0.3220	1.22e-01
219536_s_at	  0.2208	6.79e-02
219538_at	  0.0068	9.01e-01
219539_at	 -0.4919	7.94e-02
219542_at	  0.0678	6.92e-01
219543_at	  0.2345	1.13e-03
219544_at	 -0.4745	3.15e-03
219546_at	 -0.4597	2.94e-02
219548_at	  0.0661	5.91e-01
219551_at	 -0.1635	1.42e-01
219552_at	  0.1575	2.27e-01
219553_at	 -0.4557	1.84e-02
219556_at	  0.1594	2.51e-01
219559_at	  0.2922	5.72e-02
219560_at	 -0.3883	1.94e-03
219562_at	  0.2441	1.51e-01
219563_at	  0.0939	5.76e-01
219564_at	  0.2077	1.55e-01
219565_at	  0.4830	7.27e-02
219571_s_at	  0.4151	7.82e-02
219572_at	  0.2291	1.48e-01
219574_at	 -0.1988	2.87e-01
219575_s_at	 -0.5016	7.13e-02
219577_s_at	  1.1175	1.51e-02
219578_s_at	  0.6028	4.39e-03
219579_at	  0.4993	2.17e-02
219580_s_at	  0.2826	7.72e-02
219581_at	 -0.6996	4.27e-03
219582_at	  0.1020	3.84e-01
219584_at	  0.5230	9.16e-02
219585_at	  0.2706	2.98e-02
219586_at	  0.0042	9.63e-01
219589_s_at	  0.0330	8.09e-01
219594_at	  1.0312	1.24e-03
219595_at	 -0.1582	2.37e-01
219596_at	  0.1218	4.93e-01
219598_s_at	 -0.2674	1.89e-01
219599_at	  0.0679	5.35e-01
219600_s_at	  0.2447	2.95e-01
219602_s_at	  0.3960	1.88e-02
219605_at	  0.3808	6.90e-02
219607_s_at	  0.0884	4.36e-01
219609_at	 -0.0166	8.89e-01
219610_at	  0.1190	3.34e-01
219611_s_at	 -0.0690	6.21e-01
219614_s_at	  0.0407	6.94e-01
219618_at	  0.2757	9.81e-02
219621_at	  0.0526	4.21e-01
219622_at	  0.2288	2.72e-01
219624_at	 -0.1312	7.52e-02
219628_at	 -0.1445	2.84e-01
219632_s_at	  0.3115	1.10e-01
219635_at	  0.1648	3.43e-01
219636_s_at	  0.1214	7.07e-02
219637_at	  0.1899	1.38e-01
219638_at	 -0.0027	9.73e-01
219639_x_at	  0.0079	9.12e-01
219640_at	  0.2912	2.57e-02
219641_at	  0.4564	3.52e-02
219642_s_at	  0.3242	1.14e-01
219643_at	  0.0534	3.25e-01
219644_at	 -0.2914	7.39e-03
219645_at	  0.1283	8.25e-02
219646_at	 -0.5068	2.66e-02
219648_at	 -0.0077	9.25e-01
219649_at	  0.0931	5.64e-01
219651_at	  0.1903	9.84e-02
219652_s_at	  0.2128	3.45e-01
219654_at	  0.1815	6.73e-02
219657_s_at	  1.3856	5.80e-03
219660_s_at	  0.0222	7.06e-01
219661_at	  0.2530	1.96e-02
219662_at	 -0.0699	4.74e-01
219663_s_at	 -0.0088	9.56e-01
219664_s_at	  0.8458	2.53e-03
219667_s_at	 -0.0990	7.90e-02
219668_at	 -0.2680	1.25e-01
219670_at	 -0.0754	4.35e-01
219674_s_at	 -0.0471	5.47e-01
219675_s_at	 -0.0664	5.41e-01
219677_at	  0.4993	6.74e-02
219679_s_at	  0.2995	5.46e-02
219681_s_at	 -1.2862	1.26e-03
219683_at	  0.3009	5.65e-02
219685_at	  0.1101	3.82e-01
219686_at	  0.4045	4.37e-02
219691_at	 -0.0116	8.52e-01
219693_at	  0.3838	6.55e-03
219695_at	  0.1768	2.21e-01
219700_at	  0.2344	9.03e-02
219703_at	 -0.2267	1.39e-02
219707_at	  0.1872	2.02e-01
219709_x_at	 -0.5487	2.89e-02
219710_at	  0.1443	5.01e-01
219713_at	  0.2159	7.03e-02
219714_s_at	  0.1589	3.97e-02
219716_at	  0.6654	3.83e-02
219717_at	 -0.1505	1.33e-01
219720_s_at	  0.3985	6.92e-02
219722_s_at	  0.1098	3.33e-01
219723_x_at	  0.1419	3.61e-01
219730_at	 -0.1263	2.61e-01
219731_at	 -0.0378	7.15e-01
219732_at	  0.4478	1.15e-01
219734_at	  0.2656	4.37e-02
219735_s_at	  0.2701	2.65e-01
219736_at	  0.0626	7.15e-01
219737_s_at	  0.2862	1.20e-01
219741_x_at	 -0.2366	1.85e-01
219742_at	 -0.6445	6.35e-02
219743_at	 -0.0827	4.37e-01
219744_at	  0.3563	1.33e-02
219747_at	  0.1041	4.85e-01
219748_at	  0.2310	6.55e-02
219749_at	  0.0081	9.57e-01
219750_at	  0.3132	5.33e-03
219754_at	  0.2066	9.93e-02
219755_at	  0.1033	5.06e-01
219758_at	  0.0366	7.96e-01
219764_at	 -0.0392	6.98e-01
219765_at	 -0.0670	2.49e-01
219766_at	  0.0843	4.31e-01
219770_at	  0.3840	2.04e-05
219774_at	  0.0617	3.03e-01
219778_at	  1.4264	1.75e-02
219782_s_at	 -0.1822	2.77e-01
219785_s_at	  0.6346	1.34e-01
219787_s_at	 -0.3340	1.65e-01
219790_s_at	  0.1308	1.41e-01
219793_at	 -0.0716	5.00e-01
219794_at	  0.2551	1.33e-01
219795_at	  0.1101	2.27e-01
219800_s_at	  0.1004	2.74e-01
219801_at	 -0.0384	6.59e-01
219802_at	 -0.1042	3.58e-01
219807_x_at	 -0.1196	5.18e-02
219808_at	  0.0276	8.32e-01
219813_at	  0.0583	2.51e-01
219814_at	  0.1960	1.28e-01
219816_s_at	  0.1331	1.71e-01
219817_at	  0.0666	6.60e-01
219818_s_at	  0.4973	9.02e-02
219820_at	  0.0688	6.36e-01
219821_s_at	 -0.1993	5.12e-02
219822_at	 -0.0274	7.90e-01
219824_at	  0.2969	1.13e-01
219827_at	  0.1589	2.93e-01
219828_at	  0.3354	1.66e-01
219829_at	  0.0920	5.71e-01
219830_at	  0.0563	5.82e-01
219831_at	  0.1352	1.20e-01
219833_s_at	  0.0639	7.05e-01
219835_at	  0.0476	7.95e-01
219836_at	  0.2821	1.07e-01
219837_s_at	  0.5280	1.19e-01
219840_s_at	  0.0708	3.97e-01
219844_at	  0.3825	8.07e-02
219848_s_at	 -0.1508	5.29e-02
219850_s_at	  0.0083	5.50e-01
219851_at	  0.1821	1.94e-01
219852_s_at	  0.2889	3.89e-02
219853_at	  0.2029	1.48e-01
219855_at	  0.2542	2.27e-01
219856_at	  0.2382	7.51e-02
219860_at	  0.4503	3.18e-02
219862_s_at	  2.1152	6.13e-04
219863_at	  0.2406	2.65e-01
219865_at	  0.2033	7.56e-02
219867_at	  0.2739	1.93e-01
219868_s_at	  0.3472	9.37e-03
219869_s_at	  1.5208	7.79e-03
219870_at	  0.1360	6.46e-02
219872_at	  0.3499	6.02e-02
219873_at	  0.0716	6.38e-01
219874_at	  0.0194	8.42e-01
219875_s_at	  0.0910	9.83e-02
219876_s_at	  0.2195	2.13e-01
219877_at	  0.1444	2.61e-01
219879_s_at	  0.2301	8.44e-02
219880_at	  0.7798	3.74e-02
219883_at	  0.0251	8.00e-01
219884_at	 -0.1262	3.48e-01
219885_at	  0.3833	2.65e-01
219889_at	  1.0381	7.89e-03
219891_at	  0.1550	3.08e-01
219894_at	  0.2732	1.04e-01
219895_at	  0.0448	4.28e-01
219896_at	  0.5226	4.12e-02
219897_at	  0.3917	7.49e-02
219903_s_at	  0.4475	5.22e-02
219904_at	 -0.0847	6.65e-01
219905_at	  2.3600	1.44e-02
219910_at	  0.4072	5.57e-02
219913_s_at	 -0.0922	4.63e-01
219914_at	  0.2529	6.98e-02
219915_s_at	 -0.0248	7.72e-01
219917_at	  0.1017	3.52e-01
219918_s_at	 -0.5742	1.11e-01
219924_s_at	 -0.0381	6.94e-01
219925_at	  0.1489	1.13e-01
219926_at	 -0.2859	3.00e-02
219927_at	  0.0575	5.61e-01
219930_at	  0.1439	4.81e-01
219934_s_at	  0.1987	9.83e-02
219935_at	 -0.0280	6.89e-01
219939_s_at	 -0.1034	5.22e-01
219940_s_at	 -0.0639	3.83e-01
219942_at	  0.1872	3.50e-02
219944_at	  0.2103	1.37e-01
219945_at	 -0.0526	3.90e-01
219946_x_at	  0.3871	1.22e-01
219947_at	 -0.0755	6.18e-01
219948_x_at	 -0.0098	8.61e-01
219950_s_at	  0.2242	3.04e-01
219952_s_at	 -0.0423	7.59e-01
219953_s_at	 -0.1331	2.99e-01
219954_s_at	 -0.0707	6.07e-01
219956_at	  1.6339	6.51e-04
219957_at	 -0.1863	3.54e-01
219958_at	  0.0364	7.25e-01
219959_at	  0.4222	8.23e-02
219961_s_at	  0.2938	4.24e-02
219962_at	  0.1204	1.35e-01
219963_at	  0.7162	1.06e-03
219969_at	  0.0771	4.08e-01
219970_at	  0.0146	7.05e-01
219971_at	  0.3075	6.73e-02
219974_x_at	 -0.3596	9.91e-02
219975_x_at	  0.0557	6.63e-01
219976_at	  0.0530	7.52e-01
219978_s_at	  0.1986	1.74e-01
219983_at	  0.1424	1.40e-01
219984_s_at	  0.1773	5.99e-02
219985_at	 -0.2095	1.53e-01
219986_s_at	  0.2566	1.06e-01
219987_at	  0.1287	1.10e-01
219988_s_at	  0.1659	9.86e-02
219990_at	 -0.1570	3.85e-01
219992_at	  0.3511	7.28e-03
219993_at	  0.3341	1.32e-01
219995_s_at	  0.0584	2.77e-01
219996_at	  0.2245	1.16e-01
219999_at	  0.6361	2.39e-03
220000_at	 -0.0686	7.65e-01
220001_at	  0.3091	1.66e-01
220002_at	  0.1493	2.45e-01
220003_at	  0.3690	6.53e-02
220006_at	 -0.0135	9.20e-01
220007_at	 -0.0170	8.78e-01
220008_at	  0.0032	9.86e-01
220012_at	  0.3096	2.21e-01
220013_at	  0.2649	1.58e-01
220016_at	  0.0369	8.50e-01
220018_at	 -0.3621	6.39e-02
220020_at	 -0.1256	3.84e-01
220023_at	  0.1565	2.03e-01
220026_at	  0.3778	6.96e-02
220028_at	  0.1083	2.49e-01
220029_at	  0.1687	1.76e-01
220030_at	  0.0326	7.32e-01
220031_at	  0.1198	3.44e-01
220032_at	  0.3819	6.12e-02
220034_at	  0.0521	6.99e-01
220035_at	 -0.1063	5.66e-01
220036_s_at	 -0.2493	2.21e-01
220037_s_at	 -0.0459	5.23e-01
220038_at	 -0.0810	4.82e-01
220042_x_at	  0.0669	2.94e-01
220046_s_at	 -0.0396	8.05e-01
220050_at	  0.2858	4.19e-02
220052_s_at	  0.3411	1.63e-02
220054_at	  0.1290	3.51e-01
220055_at	  0.1262	3.05e-01
220056_at	 -0.0399	6.42e-01
220058_at	  0.0752	4.86e-01
220061_at	  0.2861	2.09e-01
220066_at	  0.0780	4.28e-01
220069_at	  0.1049	2.66e-01
220070_at	  0.0134	8.35e-01
220073_s_at	  0.4513	7.96e-02
220077_at	  0.2974	1.39e-01
220081_x_at	 -0.9509	1.74e-02
220083_x_at	 -0.9990	1.16e-02
220092_s_at	  0.1896	4.46e-02
220094_s_at	 -0.4216	7.50e-02
